name,loudness,liveness,tempo,valence,instrumentalness,danceability,speechiness,mode,duration_ms,acousticness,key,energy,time_signature,label
The Sun,-7.623,0.0941,126.014,0.729,0.762,0.773,0.0311,0,207373,0.752,5,0.586,4,liked
The Sun,-12.074,0.153,147.44,0.648,0.181,0.813,0.137,1,230560,0.257,1,0.513,4,liked
The Sun,-7.753,0.424,109.989,0.645,0.162,0.649,0.0428,0,196053,0.277,5,0.878,4,liked
The Sun,-5.776,0.356,143.934,0.802,0,0.649,0.204,1,190063,0.0472,7,0.86,4,liked
The Sun,-6.82,0.106,139.959,0.878,0.0895,0.666,0.0295,1,206960,0.00251,4,0.875,4,liked
The Sun,-10.802,0.0838,122.993,0.689,0.477,0.677,0.0365,0,239076,0.0182,6,0.522,4,liked
The Sun,-8.394,0.112,92.495,0.398,0.083,0.722,0.0411,1,161947,0.119,0,0.613,4,liked
The Sun,-16.09,0.111,123.021,0.0787,0.949,0.742,0.052,1,389955,0.611,11,0.266,4,liked
The Sun,-9.379,0.245,140.043,0.319,0.0179,0.625,0.0422,0,161424,0.0949,4,0.604,4,liked
The Sun,-8.949,0.117,122.022,0.203,0.888,0.689,0.0507,1,381714,0.00499,7,0.778,4,liked
Flawless,-6.482,0.138,119.988,0.577,0.239,0.805,0.0451,1,181657,0.00488,0,0.568,4,liked
Flawless,-14.129,0.0952,140.047,0.713,0.7,0.824,0.153,1,98693,0.497,7,0.176,4,liked
Flawless,-16.81,0.111,120.036,0.269,0.947,0.796,0.0995,1,147965,0.607,1,0.391,4,liked
Flawless,-10.024,0.0951,123.995,0.603,0.812,0.807,0.0499,1,334013,0.0245,7,0.594,4,liked
Flawless,-11.483,0.118,114.982,0.53,0.124,0.797,0.28,0,220916,0.547,6,0.52,4,liked
Flawless,-11.565,0.105,96.005,0.572,0.0988,0.846,0.115,1,272973,0.0581,2,0.363,4,liked
Flawless,-6.973,0.0783,91.873,0.455,0,0.478,0.163,1,262533,0.447,7,0.573,4,liked
Flawless,-4.994,0.175,124.992,0.43,0.0000802,0.58,0.0334,0,253729,0.0176,7,0.86,4,liked
Flawless,-10.803,0.119,117.921,0.539,0.00025,0.808,0.254,0,146107,0.654,1,0.423,4,liked
Flawless,-4.598,0.128,88.131,0.388,0.00000804,0.673,0.153,0,191164,0.0871,1,0.669,4,liked
The Look,-7.792,0.0837,84.947,0.504,0.0391,0.638,0.0415,0,277653,0.623,9,0.535,4,liked
The Look,-10.182,0.0554,119.952,0.231,0.0146,0.766,0.0433,0,258000,0.0202,10,0.572,4,liked
The Look,-12.335,0.11,138.97,0.469,0.000383,0.898,0.356,0,216520,0.319,6,0.283,4,liked
The Look,-8.68,0.0395,103.998,0.849,0.000374,0.947,0.0823,0,242553,0.0312,6,0.576,4,liked
The Look,-7.078,0.224,200.112,0.196,0.00557,0.545,0.0694,0,214637,0.343,9,0.661,4,liked
The Look,-13.345,0.126,91.652,0.365,0.266,0.597,0.561,0,82357,0.688,8,0.433,3,liked
The Look,-6.685,0.198,118.044,0.0585,0.118,0.73,0.0634,0,277787,0.15,10,0.589,4,liked
The Look,-9.486,0.0732,105.015,0.837,0.0294,0.829,0.0373,0,228267,0.396,10,0.482,4,liked
The Look,-8.968,0.0755,124.963,0.582,0.827,0.702,0.0751,1,165605,0.00597,4,0.749,4,liked
The Look,-10.564,0.0797,132.003,0.195,0.00463,0.656,0.0379,0,208483,0.858,2,0.27,4,liked
Gravity,-12.697,0.109,183.424,0.348,0.399,0.357,0.216,1,194213,0.00978,8,0.436,5,liked
Gravity,-16.228,0.132,122.151,0.24,0.937,0.803,0.0722,0,236067,0.884,10,0.395,4,liked
Gravity,-4.911,0.265,99.946,0.801,0.0867,0.765,0.082,1,197973,0.772,7,0.887,4,liked
Gravity,-8.395,0.691,116.984,0.357,0.0136,0.694,0.0323,1,197400,0.339,1,0.68,4,liked
Gravity,-10.003,0.0982,146.063,0.186,0.0599,0.454,0.0329,0,304851,0.000627,6,0.462,4,liked
Gravity,-9.354,0.289,109.968,0.762,0.0206,0.738,0.0454,1,233560,0.0041,7,0.462,4,liked
Gravity,-3.143,0.0991,152.05,0.357,0.0826,0.863,0.17,0,157259,0.278,4,0.717,4,liked
Gravity,-6.565,0.233,116.981,0.695,0.00178,0.644,0.0287,1,352004,0.00215,1,0.73,4,liked
Gravity,-3.638,0.358,93.49,0.5,0,0.561,0.0741,1,271747,0.116,5,0.984,4,liked
Gravity,-8.056,0.138,161.625,0.347,0.000162,0.39,0.303,1,189906,0.632,3,0.607,4,liked
Lately,-7.891,0.112,160.023,0.313,0.146,0.669,0.0603,1,194640,0.0455,8,0.674,4,liked
Lately,-10.956,0.0834,124.008,0.588,0.496,0.776,0.0512,1,312656,0.0358,9,0.493,4,liked
Lately,-10.253,0.11,120.034,0.272,0.0512,0.842,0.0548,0,126000,0.0272,1,0.377,4,liked
Lately,-6.528,0.085,170.105,0.671,0.000264,0.614,0.0455,1,205050,0.671,0,0.527,4,liked
Lately,-17.241,0.1,120.034,0.0883,0.898,0.749,0.0441,1,215957,0.0308,11,0.582,4,liked
Lately,-7.626,0.403,120.118,0.585,0.0524,0.608,0.0349,1,193402,0.0000814,7,0.743,4,liked
Lately,-6.512,0.111,94.094,0.649,0.0216,0.73,0.0554,1,147875,0.0464,8,0.785,4,liked
Lately,-5.334,0.0774,130.984,0.413,0.0908,0.718,0.0332,1,265772,0.00396,0,0.59,4,liked
Lately,-10.289,0.112,140.047,0.364,0.762,0.755,0.0369,0,205714,0.284,4,0.471,4,liked
Lately,-9.88,0.512,122.01,0.0905,0.916,0.554,0.0293,0,375000,0.000108,9,0.541,4,liked
Retourne,,,,,,,,,,,,,,not_listened
Crap Slap,,,,,,,,,,,,,,not_listened
Spit On Your Rave,,,,,,,,,,,,,,not_listened